First Name,Last Name,Email,Position
Patricia,Sánchez Quispe,p.sanchez@teleconecta.pe,Gerente Comercial
Diego,Mendoza Castillo,d.mendoza@teleconecta.pe,Ejecutivo de Ventas
Carmen,Rojas Díaz,c.rojas@teleconecta.pe,Analista de Finanzas
Fiorella,Neyra Palacios,f.neyra@teleconecta.pe,Analista de Marketing
Valeria,Ccopa Quispe,v.ccopa@teleconecta.pe,Asistente de Gerencia
Rosa,Delgado Aquino,r.delgado@teleconecta.pe,Asistente Administrativa
Mirella,Baltazar Chumbe,m.baltazar@teleconecta.pe,Ejecutiva de Ventas
Jorge,Pariona Cusihuallpa,j.pariona@teleconecta.pe,Analista Contable
Nicole,Ortega Salinas,n.ortega@teleconecta.pe,Coordinadora de Marketing
Cristian,Huaraca Poma,c.huaraca@teleconecta.pe,Ejecutivo de Ventas
Karina,Villar Espinoza,k.villar@teleconecta.pe,Analista de RRHH
Freddy,Chávez Núñez,f.chavez@teleconecta.pe,Asistente Contable
Lizbeth,Quiroz Alania,l.quiroz@teleconecta.pe,Ejecutiva de Atención al Cliente
Óscar,Cangana Ruiz,o.cangana@teleconecta.pe,Analista de Cobranzas
