id,status,ip,latitude,longitude,send_date,reported,modified_date,email,first_name,last_name,position
Hw4EYvB,Submitted Data,127.0.0.1,0,0,2026-07-02T04:16:48.920952407Z,false,2026-07-02T05:56:27.241384693Z,c.rojas@teleconecta.pe,Carmen,Rojas Díaz,Analista de Finanzas
Tyrkzjs,Submitted Data,127.0.0.1,0,0,2026-07-02T04:17:48.850329151Z,false,2026-07-02T05:57:10.956388789Z,c.huaraca@teleconecta.pe,Cristian,Huaraca Poma,Ejecutivo de Ventas
J3tgjGj,Clicked Link,127.0.0.1,0,0,2026-07-02T04:18:48.826433959Z,true,2026-07-02T05:59:33.777066059Z,d.mendoza@teleconecta.pe,Diego,Mendoza Castillo,Ejecutivo de Ventas
0ekxBM0,Clicked Link,127.0.0.1,0,0,2026-07-02T04:19:48.867023903Z,false,2026-07-02T05:58:31.143366091Z,f.neyra@teleconecta.pe,Fiorella,Neyra Palacios,Analista de Marketing
ICLgNjm,Submitted Data,127.0.0.1,0,0,2026-07-02T04:21:48.802816663Z,false,2026-07-02T05:58:12.369175555Z,f.chavez@teleconecta.pe,Freddy,Chávez Núñez,Asistente Contable
x2yxdQs,Submitted Data,127.0.0.1,0,0,2026-07-02T04:22:48.837644262Z,false,2026-07-02T06:17:43.70388644Z,j.pariona@teleconecta.pe,Jorge,Pariona Cusihuallpa,Analista Contable
lCXBYwS,Submitted Data,127.0.0.1,0,0,2026-07-02T04:23:48.906635508Z,false,2026-07-02T06:16:57.661162881Z,k.villar@teleconecta.pe,Karina,Villar Espinoza,Analista de RRHH
OqUaFr6,Submitted Data,127.0.0.1,0,0,2026-07-02T04:25:48.995698224Z,false,2026-07-02T06:16:34.796243766Z,l.quiroz@teleconecta.pe,Lizbeth,Quiroz Alania,Ejecutiva de Atención al Cliente
fq9BkDg,Submitted Data,127.0.0.1,0,0,2026-07-02T04:26:48.827402617Z,false,2026-07-02T06:11:46.216944131Z,m.baltazar@teleconecta.pe,Mirella,Baltazar Chumbe,Ejecutiva de Ventas
7DQn72c,Submitted Data,127.0.0.1,0,0,2026-07-02T04:27:48.868214551Z,false,2026-07-02T06:15:39.67181709Z,n.ortega@teleconecta.pe,Nicole,Ortega Salinas,Coordinadora de Marketing
hHn8G3t,Submitted Data,127.0.0.1,0,0,2026-07-02T04:29:48.858267491Z,false,2026-07-02T06:12:18.14997663Z,p.sanchez@teleconecta.pe,Patricia,Sánchez Quispe,Gerente Comercial
eHkZt0Y,Submitted Data,127.0.0.1,0,0,2026-07-02T04:30:48.961552285Z,false,2026-07-02T06:16:03.936635277Z,r.delgado@teleconecta.pe,Rosa,Delgado Aquino,Asistente Administrativa
Y7QACCY,Email Opened,127.0.0.1,0,0,2026-07-02T04:31:48.884660107Z,false,2026-07-02T05:41:51.961911239Z,v.ccopa@teleconecta.pe,Valeria,Ccopa Quispe,Asistente de Gerencia
bKOxm0x,Email Opened,127.0.0.1,0,0,2026-07-02T04:33:48.976692664Z,false,2026-07-02T05:42:45.71502814Z,o.cangana@teleconecta.pe,Óscar,Cangana Ruiz,Analista de Cobranzas
mEXOBQK,Email Opened,127.0.0.1,0,0,2026-07-02T04:34:48.834174193Z,false,2026-07-02T05:42:45.136423427Z,c.requena@teleconecta.pe,Carla,Requena Del Águila,Coordinadora Comercial
iDbhvio,Submitted Data,127.0.0.1,0,0,2026-07-02T04:35:48.844967881Z,false,2026-07-02T05:59:11.176371734Z,e.bocanegra@teleconecta.pe,Enrique,Bocanegra Ramos,Jefe Comercial Zonal
PfQAFt8,Email Opened,127.0.0.1,0,0,2026-07-02T04:37:49.189425495Z,true,2026-07-02T05:57:36.860376289Z,g.ninahuanca@teleconecta.pe,Gustavo,Ninahuanca Ríos,Jefe de Operaciones
eHsUkzg,Email Opened,127.0.0.1,0,0,2026-07-02T04:38:48.816114175Z,true,2026-07-02T05:57:38.312568338Z,i.malpartida@teleconecta.pe,Iván,Malpartida Segura,Jefe de Infraestructura
602vSjw,Submitted Data,127.0.0.1,0,0,2026-07-02T04:39:48.832016636Z,false,2026-07-02T06:15:18.476454889Z,k.rondon@teleconecta.pe,Katia,Rondón Aybar,Coordinadora de Proyectos
WeztLwy,Email Opened,127.0.0.1,0,0,2026-07-02T04:41:48.843040677Z,true,2026-07-02T06:12:28.202981328Z,l.anco@teleconecta.pe,Lourdes,Anco Huarcaya,Jefa de Administración
oqc4ed2,Email Opened,127.0.0.1,0,0,2026-07-02T04:42:48.824827041Z,true,2026-07-02T06:13:23.844363894Z,s.yataco@teleconecta.pe,Sergio,Yataco Peralta,Jefe de Logística
BlqmuXB,Submitted Data,127.0.0.1,0,0,2026-07-02T04:43:48.873470361Z,false,2026-07-02T06:13:07.970715736Z,v.salcedo@teleconecta.pe,Verónica,Salcedo Trujillo,Jefa de RRHH
