campaign_id,email,time,message,details
4,,2026-07-02T04:00:44.751441774Z,Campaign Created,
4,a.cardenas@teleconecta.pe,2026-07-02T04:00:46.664103082Z,Email Sent,
4,b.torres@teleconecta.pe,2026-07-02T04:00:46.999535313Z,Error Sending Email,"{""error"":""550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing""}"
4,j.quispe@teleconecta.pe,2026-07-02T04:02:48.86923623Z,Email Sent,
4,k.huaman@teleconecta.pe,2026-07-02T04:04:48.739627102Z,Email Sent,
4,l.paredes@teleconecta.pe,2026-07-02T04:06:48.801354842Z,Email Sent,
4,m.villanueva@teleconecta.pe,2026-07-02T04:08:48.865743392Z,Email Sent,
4,m.cusi@teleconecta.pe,2026-07-02T04:10:48.987676743Z,Email Sent,
4,r.salazar@teleconecta.pe,2026-07-02T04:12:48.848264933Z,Email Sent,
4,a.cardenas@teleconecta.pe,2026-07-02T05:48:49.18299547Z,Clicked Link,"{""payload"":{""rid"":[""n2qQQbc""]},""browser"":{""address"":""127.0.0.1"",""user-agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""}}"
4,a.cardenas@teleconecta.pe,2026-07-02T05:49:12.066476659Z,Submitted Data,"{""payload"":{""password"":[""ProyectoFinal123!""],""rid"":[""n2qQQbc""],""username"":[""a.cardenas@teleconecta.pe""]},""browser"":{""address"":""127.0.0.1"",""user-agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""}}"
4,j.quispe@teleconecta.pe,2026-07-02T05:49:58.944868011Z,Clicked Link,"{""payload"":{""rid"":[""pAPYEaf""]},""browser"":{""address"":""127.0.0.1"",""user-agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""}}"
4,l.paredes@teleconecta.pe,2026-07-02T05:50:21.29580567Z,Clicked Link,"{""payload"":{""rid"":[""Qyp8qNq""]},""browser"":{""address"":""127.0.0.1"",""user-agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""}}"
4,l.paredes@teleconecta.pe,2026-07-02T05:50:39.075581136Z,Submitted Data,"{""payload"":{""password"":[""FinalProject321?""],""rid"":[""Qyp8qNq""],""username"":[""l.paredes@teleconecta.pe""]},""browser"":{""address"":""127.0.0.1"",""user-agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""}}"
4,j.quispe@teleconecta.pe,2026-07-02T05:51:43.808435398Z,Email Reported,"{""payload"":{""rid"":[""pAPYEaf""]},""browser"":{""address"":""127.0.0.1"",""user-agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""}}"
4,m.villanueva@teleconecta.pe,2026-07-02T05:52:27.496461755Z,Clicked Link,"{""payload"":{""rid"":[""9dqa47n""]},""browser"":{""address"":""127.0.0.1"",""user-agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""}}"
4,m.cusi@teleconecta.pe,2026-07-02T05:52:48.806986111Z,Clicked Link,"{""payload"":{""rid"":[""241aTvO""]},""browser"":{""address"":""127.0.0.1"",""user-agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""}}"
4,m.cusi@teleconecta.pe,2026-07-02T05:53:01.374156126Z,Submitted Data,"{""payload"":{""password"":[""Teleconecta987_""],""rid"":[""241aTvO""],""username"":[""m.cusi@teleconecta.pe""]},""browser"":{""address"":""127.0.0.1"",""user-agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""}}"
4,r.salazar@teleconecta.pe,2026-07-02T05:53:22.383568744Z,Email Reported,"{""payload"":{""rid"":[""Wxm1UX2""]},""browser"":{""address"":""127.0.0.1"",""user-agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""}}"
4,r.salazar@teleconecta.pe,2026-07-02T06:18:05.727374352Z,Clicked Link,"{""payload"":{""rid"":[""Wxm1UX2""]},""browser"":{""address"":""127.0.0.1"",""user-agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""}}"
